S/N,Project Name,Street Name,Type,Postal District,Market Segment,Tenure,Type of Sale,No. of Units,Price,Nett Price ($),Area in Sqft,Type of Area,Floor Level,Unit Price in dollar psf,Date of Sale
60,LEEDON RESIDENCE,LEEDON HEIGHTS,Condominium,10,CCR,Freehold,New Sale,1,4758750,-,2669,Strata,01 to 05,1783,Sep-15
61,LEEDON RESIDENCE,LEEDON HEIGHTS,Condominium,10,CCR,Freehold,New Sale,1,4691520,-,2659,Strata,06 to 10,1765,Sep-15
62,SOPHIA HILLS,MOUNT SOPHIA,Condominium,9,CCR,99 years leasehold,New Sale,1,1496000,-,700,Strata,01 to 05,2138,Sep-15
63,SEVENTY SAINT PATRICK'S,ST. PATRICKS ROAD,Condominium,15,OCR,Freehold,New Sale,1,1889910,-,1184,Strata,01 to 05,1596,Sep-15
64,8M RESIDENCES,MARGATE ROAD,Apartment,15,RCR,Freehold,New Sale,1,1630000,-,893,Strata,11 to 15,1824,Sep-15
65,SANT RITZ,PHENG GECK AVENUE,Condominium,13,RCR,99 years leasehold,New Sale,1,1199504,-,1238,Strata,01 to 05,969,Sep-15
66,SANT RITZ,PHENG GECK AVENUE,Condominium,13,RCR,99 years leasehold,New Sale,1,1185253,-,1227,Strata,01 to 05,966,Sep-15
67,TREASURES @ G20,LORONG 20 GEYLANG,Apartment,14,RCR,Freehold,New Sale,1,546000,-,420,Strata,06 to 10,1301,Sep-15
68,NIN RESIDENCE,PHENG GECK AVENUE,Apartment,13,RCR,99 yrs lease commencing from 2010,Sub Sale,1,1190000,-,893,Strata,01 to 05,1332,Sep-15
69,SANT RITZ,PHENG GECK AVENUE,Condominium,13,RCR,99 years leasehold,New Sale,1,1388420,-,1098,Strata,06 to 10,1265,Sep-15
70,E MAISON,BRADDELL ROAD,Apartment,13,OCR,Freehold,New Sale,1,1121328,-,936,Strata,01 to 05,1197,Sep-15
71,AMARYLLIS VILLE,NEWTON ROAD,Condominium,11,CCR,99 yrs lease commencing from 1997,Resale,1,1880000,-,1259,Strata,21 to 25,1493,Sep-15
72,TROPIKA EAST,FOO KIM LIN ROAD,Apartment,14,OCR,Freehold,New Sale,1,960000,-,818,Strata,01 to 05,1174,Sep-15
73,8M RESIDENCES,MARGATE ROAD,Apartment,15,RCR,Freehold,New Sale,1,1650000,-,893,Strata,11 to 15,1847,Sep-15
74,8M RESIDENCES,MARGATE ROAD,Apartment,15,RCR,Freehold,New Sale,1,1597260,-,893,Strata,06 to 10,1788,Sep-15
75,SANT RITZ,PHENG GECK AVENUE,Condominium,13,RCR,99 years leasehold,New Sale,1,1171086,-,1238,Strata,01 to 05,946,Sep-15
76,REZI 3TWO,LORONG 32 GEYLANG,Apartment,14,RCR,Freehold,New Sale,1,705000,-,452,Strata,01 to 05,1559,Sep-15
77,ST PATRICK'S RESIDENCES,ST. PATRICK'S ROAD,Apartment,15,OCR,Freehold,Resale,1,3588000,-,3165,Strata,B1 to B5,1134,Sep-15
78,# 1 SUITES,LORONG 20 GEYLANG,Apartment,14,RCR,Freehold,New Sale,1,726937,-,603,Strata,06 to 10,1206,Sep-15
79,THE SEAFRONT ON MEYER,MEYER ROAD,Condominium,15,RCR,Freehold,Resale,1,1710000,-,1066,Strata,21 to 25,1605,Sep-15
80,ZEDGE,AKYAB ROAD,Apartment,11,CCR,Freehold,Resale,1,1660000,-,1302,Strata,16 to 20,1275,Sep-15
81,M21,MANDALAY ROAD,Apartment,11,CCR,Freehold,Resale,1,2460000,-,1755,Strata,06 to 10,1402,Sep-15
