S/N,Project Name,Street Name,Type,Postal District,Market Segment,Tenure,Type of Sale,No. of Units,Price,Nett Price ($),Area in Sqft,Type of Area,Floor Level,Unit Price in dollar psf,Date of Sale
190,HIGH PARK RESIDENCES,FERNVALE ROAD,Apartment,28,OCR,99 years leasehold,New Sale,1,1143000,-,1238,Strata,11 to 15,923,Sep-15
191,RIVERBANK @ FERNVALE,FERNVALE CLOSE,Condominium,28,OCR,99 years leasehold,New Sale,1,1304000,-,1238,Strata,16 to 20,1053,Sep-15
192,SYMPHONY SUITES,YISHUN CLOSE,Condominium,27,OCR,99 years leasehold,New Sale,1,837000,-,786,Strata,06 to 10,1065,Sep-15
193,HIGH PARK RESIDENCES,FERNVALE ROAD,Apartment,28,OCR,99 years leasehold,New Sale,1,833000,-,893,Strata,21 to 25,932,Sep-15
194,HIGH PARK RESIDENCES,FERNVALE ROAD,Apartment,28,OCR,99 years leasehold,New Sale,1,768000,-,893,Strata,06 to 10,860,Sep-15
195,HIGH PARK RESIDENCES,FERNVALE ROAD,Apartment,28,OCR,99 years leasehold,New Sale,1,716000,-,678,Strata,16 to 20,1056,Sep-15
196,HIGH PARK RESIDENCES,FERNVALE ROAD,Apartment,28,OCR,99 years leasehold,New Sale,1,1042000,-,1152,Strata,16 to 20,905,Sep-15
197,RIVERTREES RESIDENCES,FERNVALE CLOSE,Apartment,28,OCR,99 years leasehold,New Sale,1,1007300,-,947,Strata,11 to 15,1063,Sep-15
198,NORTH PARK RESIDENCES,YISHUN CENTRAL 1,Apartment,27,OCR,99 years leasehold,New Sale,1,967500,-,700,Strata,06 to 10,1383,Sep-15
199,HIGH PARK RESIDENCES,FERNVALE ROAD,Apartment,28,OCR,99 years leasehold,New Sale,1,921000,-,1163,Strata,21 to 25,792,Sep-15
200,SYMPHONY SUITES,YISHUN CLOSE,Condominium,27,OCR,99 years leasehold,New Sale,1,728000,-,689,Strata,06 to 10,1057,Sep-15
201,HIGH PARK RESIDENCES,FERNVALE ROAD,Apartment,28,OCR,99 years leasehold,New Sale,1,794000,-,872,Strata,16 to 20,911,Sep-15
202,HIGH PARK RESIDENCES,FERNVALE ROAD,Apartment,28,OCR,99 years leasehold,New Sale,1,732000,-,678,Strata,16 to 20,1079,Sep-15
203,HIGH PARK RESIDENCES,FERNVALE ROAD,Apartment,28,OCR,99 years leasehold,New Sale,1,770000,-,700,Strata,16 to 20,1101,Sep-15
204,HIGH PARK RESIDENCES,FERNVALE ROAD,Apartment,28,OCR,99 years leasehold,New Sale,1,783000,-,710,Strata,16 to 20,1102,Sep-15
205,RIVERBANK @ FERNVALE,FERNVALE CLOSE,Condominium,28,OCR,99 years leasehold,New Sale,1,995000,-,1044,Strata,11 to 15,953,Sep-15
206,HIGH PARK RESIDENCES,FERNVALE ROAD,Apartment,28,OCR,99 years leasehold,New Sale,1,620000,-,581,Strata,16 to 20,1067,Sep-15
207,HIGH PARK RESIDENCES,FERNVALE ROAD,Apartment,28,OCR,99 years leasehold,New Sale,1,1335000,-,1442,Strata,16 to 20,926,Sep-15
208,HIGH PARK RESIDENCES,FERNVALE ROAD,Apartment,28,OCR,99 years leasehold,New Sale,1,1285000,-,1442,Strata,01 to 05,891,Sep-15
209,HIGH PARK RESIDENCES,FERNVALE ROAD,Apartment,28,OCR,99 years leasehold,New Sale,1,758000,-,732,Strata,16 to 20,1036,Sep-15
210,HIGH PARK RESIDENCES,FERNVALE ROAD,Apartment,28,OCR,99 years leasehold,New Sale,1,1038000,-,1152,Strata,21 to 25,901,Sep-15
211,HIGH PARK RESIDENCES,FERNVALE ROAD,Apartment,28,OCR,99 years leasehold,New Sale,1,385000,-,388,Strata,06 to 10,994,Sep-15
212,HIGH PARK RESIDENCES,FERNVALE ROAD,Apartment,28,OCR,99 years leasehold,New Sale,1,1288000,-,1442,Strata,01 to 05,893,Sep-15
213,RIVERTREES RESIDENCES,FERNVALE CLOSE,Apartment,28,OCR,99 years leasehold,New Sale,1,1193680,-,1227,Strata,01 to 05,973,Sep-15
214,HIGH PARK RESIDENCES,FERNVALE ROAD,Apartment,28,OCR,99 years leasehold,New Sale,1,930000,-,1001,Strata,21 to 25,929,Sep-15
215,RIVERTREES RESIDENCES,FERNVALE CLOSE,Apartment,28,OCR,99 years leasehold,New Sale,1,1220000,-,1119,Strata,11 to 15,1090,Sep-15
216,SERENITY PARK,TAMARIND ROAD,Condominium,28,OCR,Freehold,Resale,1,1220000,-,1324,Strata,01 to 05,921,Sep-15
217,HIGH PARK RESIDENCES,FERNVALE ROAD,Apartment,28,OCR,99 years leasehold,New Sale,1,742000,-,732,Strata,16 to 20,1014,Sep-15
218,HIGH PARK RESIDENCES,FERNVALE ROAD,Apartment,28,OCR,99 years leasehold,New Sale,1,730000,-,872,Strata,01 to 05,837,Sep-15
219,HIGH PARK RESIDENCES,FERNVALE ROAD,Apartment,28,OCR,99 years leasehold,New Sale,1,1079000,-,1152,Strata,16 to 20,937,Sep-15
220,HIGH PARK RESIDENCES,FERNVALE ROAD,Apartment,28,OCR,99 years leasehold,New Sale,1,735000,-,678,Strata,16 to 20,1084,Sep-15
221,HIGH PARK RESIDENCES,FERNVALE ROAD,Apartment,28,OCR,99 years leasehold,New Sale,1,938000,-,980,Strata,06 to 10,958,Sep-15
